set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
41160-1,Ariel's Seaside Castle,2019,579,115,1,21.99,1,4.8,Jan-20,20.79,32.7,
41161-1,Aladdin and Jasmine's Palace Adventures,2019,579,193,2,24.99,0,4.8,Jan-20,22.78,43.31,
41164-1,Enchanted Treehouse,2019,687,302,3,44.99,1,4.5,Nov-20,36.85,45.44,
41165-1,Anna's Canoe Expedition,2019,687,108,2,17.99,0,4.4,May-21,17.08,18.98,
41167-1,Arendelle Castle Village,2019,687,521,3,74.99,2,4.6,Dec-21,67.26,71.83,
41169-1,Olaf,2019,687,122,0,12.99,0,4.6,Dec-20,13.95,13.65,
41337-1,Underwater Loop,2019,494,389,0,24.99,0,4.6,Dec-20,25.86,25.57,
41359-1,Heart Box Friendship Pack,2019,494,199,0,14.99,0,4.5,Jan-20,17.71,18.6,
41362-1,Heartlake City Supermarket,2019,494,139,0,24.99,0,4.6,Jun-20,25.19,34.53,
41364-1,Stephanie's Buggy & Trailer,2019,494,166,0,17.99,0,4.4,Feb-20,14.31,19.07,
41366-1,Olivia's Cupcake Cafe,2019,494,335,0,24.99,0,4.4,Nov-20,29.39,32.4,
41367-1,Stephanie's Horse Jumping,2019,494,352,0,34.99,0,4.6,Nov-20,40.73,34.01,
41368-1,Andrea's Talent Show,2019,494,492,0,44.99,0,4.5,Mar-20,39.88,40.73,
41369-1,Mia's House,2019,494,725,0,59.99,0,4.7,Dec-20,76.72,75.92,
41371-1,Mia's Horse Trailer,2019,494,216,0,24.99,0,4.7,Jan-21,29.9,33.7,
41373-1,Funny Octopus Ride,2019,494,324,0,34.99,0,4.6,Dec-20,37.36,35.87,
41374-1,Andrea's Pool Party,2019,494,468,0,44.99,0,4.7,Dec-20,51.11,51.82,
41375-1,Heartlake City Amusement Pier,2019,494,1267,0,119.99,0,4.7,Jan-21,119.89,118.28,
41376-1,Turtles Rescue Mission,2019,494,225,0,17.99,0,4.7,Jun-20,21.52,23.88,
41378-1,Dolphins Rescue Mission,2019,494,374,0,34.99,0,4.6,Dec-20,36.32,37.35,
41379-1,Heartlake City Restaurant,2019,494,640,0,54.99,0,4.6,Mar-21,47.71,51.83,
41380-1,Lighthouse Rescue Center,2019,494,622,0,54.99,0,4.7,Feb-21,54.73,60.04,
42090-1,Getaway Truck,2019,1,128,0,17.99,0,4.5,Nov-21,21.22,17.64,
42091-1,Police Pursuit,2019,1,120,0,17.99,0,4.7,Nov-20,18.08,20.82,
42094-1,Tracked Loader,2019,1,827,0,54.99,0,4.7,Jan-20,87.08,108.14,
42095-1,Remote-Controlled Stunt Racer,2019,1,324,0,69.99,0,4.8,Jan-22,110.62,111.11,
42097-1,Compact Crawler Crane,2019,1,920,0,79.99,0,4.7,Oct-20,94.45,103.94,
